Symbol,Name,Sector,Industry
036000,예림당,"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리
046120,오르비텍,기타 과학기술 서비스업,"방사선안전관리, 항공기 정밀부품 제조 등"
014940,오리엔탈정공,선박 및 보트 건조업,"조선해양구조물 및 조선해양기계품 제작,"
065500,오리엔트정공,자동차 신품 부품 제조업,"하우징, 리테이너베어링"
109080,옵티시스,통신 및 방송 장비 제조업,광링크 모듈 등
072470,우리산업홀딩스,기타 금융업,HVAC ACTUATOR (자동차 공조장치 부품 등)
073560,우리손에프앤지,"도축, 육류 가공 및 저장 처리업","양돈업, 도축업"
032940,원익,기계장비 및 관련 물품 도매업,반도체용석영
012620,원일특강,1차 철강 제조업,특수강
097800,윈팩,반도체 제조업,반도체 패키징 및 테스트
086390,유니테스트,특수 목적용 기계 제조업,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)"
206650,유바이오로직스,자연과학 및 공학 연구개발업,"경구용 콜레라 백신, 바이오의약품 수탁 연구 및 제조"
263770,유에스티,1차 철강 제조업,스테인레스강관
195990,유지인트,특수 목적용 기계 제조업,소형 머시닝센터
263050,유틸렉스,기초 의약물질 및 생물학적 제제 제조업,"면역항암 세포치료제, 면역항암 항체치료제"
073490,이노와이어리스,통신 및 방송 장비 제조업,통신용 시험 및 계측장비
091120,이엠텍,전자부품 제조업,"마이크로스피커,리시버"
216050,인크로스,광고업,미디어렙서비스
108790,인터파크,무점포 소매업,"온라인쇼핑, 도서, ENT(공연티켓 등), 투어"
115310,인포바인,전기 통신업,"휴대폰인증서보관서비스(UBIKey), 유선전화결제서비스(Vinepay)"
039290,인포뱅크,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역"
234920,자이글,가정용 기기 제조업,적외선 가열 조리기
040420,정상제이엘에스,일반 교습 학원,어학교육업
090470,제이스텍,특수 목적용 기계 제조업,기계장비(디스플레이장비)
052670,제일바이오,의약품 제조업,동물사료첨가제
023440,제일제강,1차 철강 제조업,"연강선재, 경강선재, CHQ외"
094850,참좋은여행,여행사 및 기타 여행보조 서비스업,여행업
071850,캐스텍코리아,자동차 신품 부품 제조업,자동차용 터보차저 부품
115500,케이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터시스템 통합 구축 및 철도 도로 교통인프라
025880,케이씨피드,동물용 사료 및 조제식품 제조업,사료
046070,코다코,자동차 신품 부품 제조업,"Oil Pump, Throttle Body"
047770,코데즈컴바인,봉제의복 제조업,패션의류
049430,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","줄자, 냉간압연"
041960,코미팜,의약품 제조업,동물약품
056360,코위버,통신 및 방송 장비 제조업,"가입가계 가입자계 광단국장치,SONs-51,OMS-155M,OCSU,E2 가입자 전송장비,SDS-2500 등"
200130,콜마비앤에이치,기초 의약물질 및 생물학적 제제 제조업,기업인수합병
225650,쿠첸,가정용 기기 제조업,전기밥솥
110790,크리스에프앤씨,봉제의복 제조업,골프웨어
311270,키움제5호스팩,금융 지원 서비스업,기업인수합병
219130,타이거일렉,전자부품 제조업,인쇄회로기판 제조업
191420,테고사이언스,기초 의약물질 및 생물학적 제제 제조업,피부세포치료제
131970,테스나,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트
079970,투비소프트,소프트웨어 개발 및 공급업,"MiPlatform, X Platform"
033830,티비씨,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매"
131290,티에스이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, LED Test Equipment"
043200,파루,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","온습도 조절기(에어쿨), 무인방제기(야호)"
038950,파인디지털,통신 및 방송 장비 제조업,"원격 RF 감시장치, 디지털 광 중계기, 노드분배기"
225590,패션플랫폼,봉제의복 제조업,여성복
068050,팬엔터테인먼트,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상물,음반"
222110,팬젠,의약품 제조업,"바이오시밀러 의약품 개발, 바이오의약품 개발 기술이전 서비스 등"
016670,포비스티앤씨,기타 전문 도매업,"h/w,s/w개발"
009520,포스코엠텍,1차 철강 제조업,철강포장용역 및 Al탈산제 생산
003670,포스코켐텍,"시멘트, 석회, 플라스터 및 그 제품 제조업","염기성내화물, 협력작업수입"
141020,포티스,무점포 소매업,셋톱박스
093380,풍강,기타 금속 가공제품 제조업,자동차용너트류
032580,피델릭스,반도체 제조업,PSRAM 및 LPSDRAM
002230,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",자동차부품
307160,하나머스트제6호스팩,금융 지원 서비스업,기업인수합병
136480,하림,"도축, 육류 가공 및 저장 처리업","육계, 육계가공식품"
013030,하이록코리아,1차 철강 제조업,관이음쇠
080720,한국유니온제약,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품"
